dataset,filename,category_id,category,overall_score,background_cleanliness,text_watermark_score,product_prominence,commercial_appeal,bg_class,needs_bg_replacement,reason
ecommerce118k,01d8ba1e8dd842953c864eabdb4c85a8.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,"The background features a cafe setting with a window displaying plants, a wooden bench, and a table with a drink."
ecommerce118k,a12dc0608c6e16e252aaabdbb500a5ca.jpg,0,women dresses,8.25,8,10,9,6,plain,False,"The product is displayed against a plain, light grey concrete wall and pavement."
ecommerce118k,f2c7ae5ab13a27462f27bf2748ba4a87.jpg,0,women dresses,8.5,8,10,9,7,plain,False,The product is shown against a plain white wall with a subtle grid pattern and a grey floor.
ecommerce118k,1990f3d9490906cf74e4dc7efb7363da.jpg,0,women dresses,6.75,10,1,9,7,plain,False,"The large, distracting watermark significantly reduces purchase confidence."
ecommerce118k,1401a580a044277b537ff4493f496703.jpg,0,women dresses,3.0,2,1,6,3,cluttered,True,The image is severely cluttered with excessive text overlays and a distracting background.
ecommerce118k,e352098b0873b9ef467dc46ae4be4436.jpg,0,women dresses,4.75,4,2,8,5,cluttered,True,The large text overlay and distracting bathroom background significantly detract from the product.
ecommerce118k,e2c22faf47e3c05725be8877c7f818a8.jpg,0,women dresses,5.75,6,2,8,7,lifestyle,True,"The large, intrusive watermark significantly detracts from the image's professional appearance and purchase appeal."
ecommerce118k,482fcd7e356159de539e4499f40e60a5.jpg,0,women dresses,3.25,2,1,7,3,cluttered,True,"The image is heavily cluttered with excessive text overlays and a distracting background, significantly reducing its commercial appeal."
ecommerce118k,e26a700778360b2770b119f9b09777c3.jpg,0,women dresses,8.5,7,10,9,8,lifestyle,False,"The background is a softly blurred, neutral-toned wall with decorative floral arrangements on either side."
ecommerce118k,f32b54fd66ffa0ac7f63e4bcfa352f11.jpg,0,women dresses,6.75,2,10,8,7,cluttered,True,The cluttered cafe background distracts from the clothing and reduces the image's professional appeal.
ecommerce118k,30a9fd64ee01c733556500b9be7f20a7.jpg,0,women dresses,5.5,9,1,8,4,plain,False,"The large, distracting watermark significantly reduces purchase confidence."
ecommerce118k,2b85e1fa48ebc803211159e03b2a1a0f.jpg,0,women dresses,3.5,3,1,6,4,lifestyle,True,The large watermark and distracting background significantly reduce purchase confidence.
ecommerce118k,9611417430d51e01697640dd65d07147.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,"The background features blurred greenery and trees, with a glimpse of a white structure and some lettering at the bottom."
ecommerce118k,8b17f4635335b469718479d98e65c21d.jpg,0,women dresses,8.75,8,10,9,8,lifestyle,False,The product is set against a plain white wall with two potted plants flanking the model.
ecommerce118k,1ef33ab3507b96d29fa0250c9a88ae61.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,"The background features a blurred indoor setting with a wall, chairs, and a table."
ecommerce118k,55659439576a8d963544a62b7f16fd1a.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,The background features a textured grey wall with a large 'ABC Cooking' sign visible above the model.
ecommerce118k,977162f5652c40fe671530e9865b8b9a.jpg,0,women dresses,8.0,6,10,9,7,lifestyle,False,"The background appears to be a textured concrete wall with a slightly blurred, industrial aesthetic."
ecommerce118k,82dc06efa44c3b425b9551efe2314a17.jpg,0,women dresses,5.25,6,2,8,5,lifestyle,True,"The image is significantly marred by large, distracting text overlays."
ecommerce118k,c886b44986d75b4cadb055bcf5e1d076.jpg,0,women dresses,6.0,9,2,8,5,plain,False,"The large, distracting watermark significantly reduces purchase confidence."
ecommerce118k,7a66e6f95a6acaff91aa97f60832422d.jpg,0,women dresses,6.25,8,10,6,4,plain,False,"The background appears to be a slightly textured, off-white surface, possibly a wall or fabric."
ecommerce118k,95090c33914529e0c0e9b6b6fe299141.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,The background is a white brick wall with a small potted plant and a dark vase visible.
ecommerce118k,6534e2ad1cc433db66a3a74ce7489bde.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,The product is displayed on a grey sofa in what appears to be a living room setting.
ecommerce118k,fc13c9270b120c98bc2debb80622c0ca.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,The background appears to be a blurred outdoor street scene with neutral tones.
ecommerce118k,774c3506a91d8286e5aba66efefd2e91.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,The product is shown in a lifestyle setting with a woman posing in a living room with artwork on the wall and floral arrangements.
ecommerce118k,4983dbad63035777c7256422265bcc01.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,"The background features a red door and brick wall with steps leading up to it, creating a traditional Chinese architectural setting."
ecommerce118k,22d67059b2bace766ac08cba5802179e.jpg,0,women dresses,4.75,3,2,8,6,lifestyle,True,The cluttered and distracting background detracts from the product and lowers purchase confidence.
ecommerce118k,7d05e5494337e8ff3a19689c484e8569.jpg,0,women dresses,6.0,10,1,8,5,plain,False,The image is significantly degraded by large promotional text overlays.
ecommerce118k,3c783d280767a7c0f4a71e4b1e6b038c.jpg,0,women dresses,5.25,8,2,7,4,plain,False,"The image is heavily overlaid with seller-added text and watermarks, significantly reducing its commercial appeal."
ecommerce118k,0dd376c9ccb31eeab40b2098df4b29ba.jpg,0,women dresses,9.0,8,10,9,9,plain,False,The background is a textured white brick wall.
ecommerce118k,4a554521ea97a4260e793ecef7619f04.jpg,0,women dresses,4.5,6,1,7,4,plain,False,"The image is heavily cluttered with seller-added text and watermarks, significantly reducing its commercial appeal."
ecommerce118k,cfeb0a0a50c2df09eb9d7b6f99b22dfc.jpg,0,women dresses,5.5,7,1,8,6,lifestyle,False,"The large, prominent watermark significantly detracts from the image's professional appearance."
ecommerce118k,7882a3c65c908d1ea8676c9b8e2ee146.jpg,0,women dresses,4.75,6,2,7,4,plain,False,"The image is significantly marred by excessive seller-added text overlays, reducing its commercial appeal."
ecommerce118k,af3c060624cbe13b800fa4f18cd4e1e6.jpg,0,women dresses,4.0,3,2,7,4,cluttered,True,"The image suffers from a distracting background and prominent text overlay, reducing its commercial appeal."
ecommerce118k,e56c59d38b89fa8314c67c9e24095514.jpg,0,women dresses,9.25,10,10,9,8,plain,False,"The background is a solid, bright white colour."
ecommerce118k,2d4a0eb0c9a385d2614bb237fade5733.jpg,0,women dresses,6.25,3,10,8,6,cluttered,True,The cluttered cafe background distracts from the skirt and reduces its visual impact.
ecommerce118k,b360b2d6341e2774bb508d324f6827d4.jpg,0,women dresses,4.0,3,2,7,4,cluttered,True,The cluttered background and excessive text overlays significantly detract from the product and reduce purchase confidence.
ecommerce118k,9a278af20e6c61f648adccf73396da5c.jpg,0,women dresses,7.75,6,10,8,7,lifestyle,False,The background features a beach scene with ocean waves and rocky formations under a blue sky.
ecommerce118k,f1b97156d60b0943b76914aee96bab7b.jpg,0,women dresses,4.25,4,2,7,4,cluttered,True,The large text overlay and distracting background significantly reduce the image's commercial appeal.
ecommerce118k,32a0c1bcca7d8824bf352453efe1c8ae.jpg,0,women dresses,6.5,10,1,9,6,plain,False,The large '01 ETSV' watermark significantly detracts from the image's professional appearance.
ecommerce118k,036ed56656226792e67a7a6357003b19.jpg,0,women dresses,8.5,9,10,8,7,plain,False,"The background is a gradient grey, transitioning from lighter to darker, and appears to be a studio backdrop."
ecommerce118k,cc0704227023f5677d997d93c80f3fdf.jpg,0,women dresses,5.5,6,2,8,6,lifestyle,True,The large Chinese text watermark significantly detracts from the image's professional appearance and purchase appeal.
ecommerce118k,8cdd06a2af37fa185b0790c5d7a75655.jpg,0,women dresses,8.0,6,10,9,7,lifestyle,False,"The product is set against a backdrop of a window with sheer curtains, a dark wooden chair, and decorative items on a side table."
ecommerce118k,8399113afe928b75c4e9ae9b70720e00.jpg,0,women dresses,6.25,9,2,8,6,plain,False,"The image is significantly cluttered with promotional text and sale banners, reducing its commercial appeal."
ecommerce118k,722de89c2bbaf3763422cf31d76ff75b.jpg,0,women dresses,8.5,10,10,8,6,plain,False,The background is a plain white colour.
ecommerce118k,c04e980775760d4f2cb40f687b7483a5.jpg,0,women dresses,6.0,6,2,9,7,lifestyle,True,The large watermark significantly detracts from the product and reduces purchase confidence.
ecommerce118k,c8ecfae4b5ece6c343f30f10a40acc8b.jpg,0,women dresses,6.0,10,1,8,5,plain,False,"The image is heavily marred by large, distracting text overlays that reduce purchase confidence."
ecommerce118k,991a1681b779c111940418241593642b.jpg,1,women abaya,7.75,6,10,8,7,lifestyle,False,The product is displayed against a white brick wall with a wooden ladder and some artificial green vines.
ecommerce118k,10e470fbfa2b775af9914e548695938d.jpg,1,women abaya,6.5,8,3,9,6,plain,False,The large diamond-shaped watermark significantly detracts from the image's professional appearance.
ecommerce118k,239c9991bded546c488ad4deec31d3bf.jpg,1,women abaya,5.5,6,2,8,6,lifestyle,False,"The large, distracting watermark significantly reduces the image's professional quality."
ecommerce118k,9927e3272bb4ce9b4a520a37596bffcd.jpg,1,women abaya,8.25,9,10,8,6,plain,False,The product is set against a gradient grey background that appears to be a studio setup.
ecommerce118k,74594bba733e6320b10d47a2fae7bdad.jpg,1,women abaya,4.0,2,3,7,4,cluttered,True,The cluttered retail background distracts from the product and reduces its commercial appeal.
ecommerce118k,ea5415d49bf9725ac6c470fd5eff2407.jpg,1,women abaya,4.0,3,2,7,4,cluttered,True,"The image is heavily cluttered with text overlays and a distracting background, reducing purchase confidence."
ecommerce118k,f3782b13c5853c99cdb75b2200a27332.jpg,1,women abaya,6.0,8,3,7,6,plain,False,The image contains distracting text overlays that reduce its professional appearance.
ecommerce118k,c2b9472e186fd5db91b24913b75bff5b.jpg,1,women abaya,6.75,4,10,8,6,cluttered,True,The cluttered and distracting background detracts from the product and reduces its visual impact.
ecommerce118k,26998a0f0b0fe4ade420f67508321771.jpg,1,women abaya,5.5,6,2,8,6,lifestyle,True,"The large, distracting watermark significantly reduces purchase confidence."
ecommerce118k,888c5e50adc7da2d5597488c7735b298.jpg,1,women abaya,4.75,4,2,8,5,lifestyle,True,The image is heavily cluttered with seller-added text and watermarks that detract from the product.
ecommerce118k,b9469602cc648f2542cfb5aba5981338.jpg,1,women abaya,6.0,9,2,8,5,plain,False,The large amount of text overlaid on the image significantly detracts from its commercial appeal.
ecommerce118k,98322c5f5f6aeee2de3c77ff8deaa8d3.jpg,1,women abaya,4.25,4,2,7,4,cluttered,True,The large numerical text overlay and distracting background significantly reduce the image's commercial appeal.
ecommerce118k,5583d5e1bd6e8843346ad2ea32478329.jpg,1,women abaya,5.0,7,1,8,4,plain,False,"The image is significantly degraded by large, distracting seller-added text overlays."
ecommerce118k,069bba423d706534596e35dc35ecbbf2.jpg,1,women abaya,3.25,2,1,7,3,cluttered,True,"The image is heavily cluttered with distracting text and watermarks, significantly reducing its commercial appeal."
ecommerce118k,fa156a921058ec64f2bd816267df1575.jpg,1,women abaya,5.25,8,2,7,4,plain,False,"The image is significantly marred by excessive seller-added text and watermarks, reducing purchase confidence."
ecommerce118k,d160df8d106112de340bc5bb63f19fa8.jpg,1,women abaya,7.0,10,3,9,6,plain,False,"The background is a solid, neutral grey gradient."
ecommerce118k,3adc44ce5d2dd9ab24a7c893b22a9960.jpg,1,women abaya,5.25,6,3,7,5,lifestyle,False,"The image is significantly marred by large, distracting watermarks and text overlays."
ecommerce118k,db2929b43c4c5ee2c2abb9971ac92b54.jpg,1,women abaya,9.0,9,10,9,8,plain,False,"The background is a gradient grey, appearing to be a studio backdrop."
ecommerce118k,b72d4115a6ed57f13b93e6ae462f9e4c.jpg,1,women abaya,6.0,8,3,7,6,plain,False,The image is significantly cluttered with seller-added text and watermarks which detract from the product.
ecommerce118k,0043d124c7e628fd077d34838f41e48c.jpg,1,women abaya,7.75,7,10,8,7,lifestyle,False,The background is a plain off-white wall with a decorative sunburst mirror and partial views of furniture.
ecommerce118k,04f62b78a56d404d19ecb395e1fa1497.jpg,1,women abaya,8.5,9,10,8,7,plain,False,The product is set against a plain white background with subtle gradient shadows suggesting a studio setup.
ecommerce118k,e2fc91d67235e5277b5d3833a34708ea.jpg,1,women abaya,5.5,6,2,8,6,lifestyle,True,"The image is significantly detracted by the large, distracting text and snowflake graphics overlaid on the product."
ecommerce118k,9b51a8d7fb5c24899d59542828da3dc4.jpg,1,women abaya,7.5,6,10,8,6,lifestyle,False,The product is shown against a textured white brick wall with a tiled floor and a window to the right.
ecommerce118k,eee240e91e63c5834661d16e789e0101.jpg,1,women abaya,5.75,6,3,8,6,lifestyle,True,The large watermark significantly detracts from the product and reduces purchase confidence.
ecommerce118k,662ebe314af00102e5a866ecaca0c0fe.jpg,1,women abaya,5.25,7,1,8,5,plain,False,The large watermark significantly reduces purchase confidence.
ecommerce118k,dabdd129553398b5fda1381f1e11156f.jpg,1,women abaya,6.0,9,2,8,5,plain,False,"The image is heavily overlaid with seller-added text, significantly reducing its commercial appeal."
ecommerce118k,9c7ab66fe64448a951f9eec4ee120256.jpg,1,women abaya,4.75,6,1,8,4,lifestyle,False,"The large, distracting text overlay significantly reduces purchase confidence."
ecommerce118k,394f988da7d88425135586a3e3c2b129.jpg,1,women abaya,4.25,4,2,7,4,cluttered,True,"The image is heavily cluttered with seller-added text and a distracting background, reducing purchase confidence."
ecommerce118k,2f65c2e46278bd8250f8824a9de62837.jpg,1,women abaya,8.75,10,10,8,7,plain,False,The background is a plain white colour.
ecommerce118k,5751581c1e7aa1d69dc3b8a900ff33d7.jpg,1,women abaya,8.5,8,10,9,7,plain,False,"The background appears to be a plain, light-grey wall with subtle vertical lines, resembling a textured surface or paneling."
ecommerce118k,ebf4ea1aa0eb5fef7913597c59d202e1.jpg,1,women abaya,6.0,9,2,8,5,plain,False,The image is heavily overlaid with distracting seller text and watermarks.
ecommerce118k,d49feedd62c02389b4aeb2b8fca3fe2e.jpg,1,women abaya,4.5,7,1,6,4,plain,False,"The image is heavily overlaid with promotional text and colour swatches, significantly reducing its commercial appeal."
ecommerce118k,55a31c9902fa39425900a21b54091e5c.jpg,1,women abaya,6.25,7,2,9,7,lifestyle,False,The large watermark significantly detracts from the image's professional appearance.
ecommerce118k,c8ccf84961c639984732cdd3a983c43e.jpg,1,women abaya,4.0,3,2,7,4,cluttered,True,"The image is heavily cluttered with text overlays and distracting background elements, significantly reducing its commercial appeal."
ecommerce118k,433dfc658c2893fab271e21d3986eefa.jpg,1,women abaya,6.25,10,1,8,6,plain,False,The large text overlay at the bottom of the image detracts from the product and appears unprofessional.
ecommerce118k,db360c7af60e25cb67ac71202c66b5ce.jpg,1,women abaya,4.0,3,2,7,4,cluttered,True,The image is heavily cluttered with distracting text overlays and a busy background.
ecommerce118k,b9fdf7ea299d619abf36986aed0df03c.jpg,1,women abaya,4.25,4,2,7,4,lifestyle,True,"The image is heavily cluttered with promotional text and watermarks, significantly reducing its commercial appeal."
ecommerce118k,6297a2b5a33559551e09126e161d3635.jpg,1,women abaya,5.25,5,2,8,6,lifestyle,True,The image is heavily cluttered with distracting seller-added text and watermarks.
ecommerce118k,9af91c2abb96cd03b4add18ff60f0102.jpg,1,women abaya,4.5,4,3,7,4,cluttered,True,The cluttered background and excessive text overlays detract from the product and reduce purchase confidence.
ecommerce118k,228f95d873c70edc29d0a3ca0576fdaa.jpg,1,women abaya,6.25,10,1,9,5,plain,False,The large text overlay significantly detracts from the image's professional appearance.
ecommerce118k,b98a6561d4406851b9546fc79a3e7b6c.jpg,1,women abaya,3.25,2,1,7,3,cluttered,True,The image is heavily cluttered with distracting text overlays and a busy background.
ecommerce118k,d55d1a5e7a807edbc35c7d46d4d0822b.jpg,1,women abaya,5.75,6,3,8,6,lifestyle,False,The image is significantly detracted by the large watermark and product name overlay.
ecommerce118k,bf6c40ac4b4fb07d325acb793a79c4ac.jpg,1,women abaya,5.75,7,2,8,6,lifestyle,False,The prominent watermarks significantly detract from the image's professional appearance and purchase appeal.
ecommerce118k,008f519ac9dd27543e0407332dd82186.jpg,1,women abaya,4.25,4,2,7,4,cluttered,True,The image is significantly hampered by large text overlays and a distracting background.
ecommerce118k,f1383a0b44f19c85cdc26e6bbccd8d25.jpg,1,women abaya,7.75,7,10,8,6,plain,False,"The background is a plain, light-coloured wall with some indistinct shapes suggesting furniture or a room corner."
ecommerce118k,3cc76afff0f6ae4cb06c53c6c6dc8d45.jpg,1,women abaya,4.0,3,2,7,4,cluttered,True,The image is significantly hampered by distracting text overlays and a cluttered background.
ecommerce118k,d1d3c5ec8bfe3fe9b165e77bbffcbdde.jpg,1,women abaya,5.0,6,2,8,4,lifestyle,False,"The image is heavily overlaid with seller-added text and watermarks, significantly reducing its commercial appeal."
ecommerce118k,26c42785efc20f52604886628c4343e4.jpg,1,women abaya,8.75,10,10,9,7,plain,False,The product is displayed against a plain white background.
ecommerce118k,85320067e8994657152d56bd0f28f6da.jpg,1,women abaya,4.0,3,2,7,4,cluttered,True,"The image is heavily cluttered with text overlays and colour swatches, significantly reducing its commercial appeal."
ecommerce118k,8e6de81323168d844b51f48900a91d52.jpg,1,women abaya,8.75,10,10,9,7,plain,False,The background is a plain white surface.
ecommerce118k,d661f66b0b72cf49cac37c56f153ed53.jpg,1,women abaya,6.25,8,2,9,6,plain,False,The large text overlay significantly detracts from the image's professional appearance.
ecommerce118k,7dc240e9c3c874ab0b0fcef9bb664fe3.jpg,1,women abaya,6.0,7,2,9,6,plain,False,The large text and watermark overlay significantly detract from the image's professional appearance.
ecommerce118k,5b855f02f193648f3234fadd041a3839.jpg,1,women abaya,5.25,6,2,8,5,lifestyle,False,"The image is significantly marred by multiple large text overlays and watermarks, reducing its professional appeal."
ecommerce118k,f86067b4f0e3bb8a9a2363db2b03d7fa.jpg,1,women abaya,5.75,6,3,8,6,lifestyle,False,The image is significantly cluttered with seller-added text overlays that detract from the product.
ecommerce118k,85a4d58c1a7996205ef8fc294d18a8f0.jpg,1,women abaya,6.5,9,3,8,6,plain,False,"The background is a plain, light grey gradient."
ecommerce118k,61cf6a2085648e19e6a2da2748a54cf0.jpg,1,women abaya,6.75,4,10,8,6,cluttered,True,The cluttered background distracts from the coat and reduces the overall professional look of the image.
ecommerce118k,e2967ee67f09894a4b831035b669d237.jpg,1,women abaya,6.0,10,1,8,5,plain,False,"The image is significantly degraded by the large, distracting text overlays."
ecommerce118k,981d4a669b9737a282f42ef7bfe3ce79.jpg,1,women abaya,6.25,9,2,8,6,plain,False,"The image is heavily overlaid with seller-added text and watermarks, which detract from the product's presentation."
ecommerce118k,154aee760abb99c6d0bef8cf3a625621.jpg,2,clothing and t-shirt,6.5,10,1,9,6,plain,False,The large text overlay significantly detracts from the image's professional appearance.
ecommerce118k,b727ddac8ac5cce8be3e8e1c3794b2d8.jpg,2,clothing and t-shirt,6.5,9,3,8,6,plain,False,The seller-added text and colour swatches detract from the product and reduce the image's professional appeal.
ecommerce118k,5dd5c0c70acbdd0022f9e3d367c62bc1.jpg,2,clothing and t-shirt,8.5,10,10,9,7,plain,False,"The product is displayed against a seamless, bright white background."
ecommerce118k,09b648968528985d7418ff357af98500.jpg,2,clothing and t-shirt,6.25,8,2,9,6,plain,False,"The large, distracting watermark significantly reduces the image's professional appeal."
ecommerce118k,f23d3b2a41f0c393a1269f8da35addfd.jpg,2,clothing and t-shirt,7.25,6,10,7,6,lifestyle,False,"The background appears to be a slightly blurred, neutral indoor setting with visible clothing on the models."
ecommerce118k,94bfac55d234042e62912d63f8b63c72.jpg,2,clothing and t-shirt,4.0,3,2,7,4,cluttered,True,The cluttered background and prominent watermarks distract from the product and reduce its commercial appeal.
ecommerce118k,d8ab7dea943c990e4964e679c06cd2f7.jpg,2,clothing and t-shirt,5.5,6,2,8,6,lifestyle,True,The large promotional text overlay significantly detracts from the image's professional appearance.
ecommerce118k,3e3d73c353ac94e75bc697a5b763f860.jpg,2,clothing and t-shirt,8.0,10,5,9,8,plain,False,"The background is a plain, off-white colour."
ecommerce118k,d615d9dc6edea13efeb79ff741736e29.jpg,2,clothing and t-shirt,4.25,4,2,7,4,lifestyle,True,"The large, distracting text overlay and cluttered background significantly reduce the image's commercial appeal."
ecommerce118k,07046c5e18841ec27b3637fb825e77fd.jpg,2,clothing and t-shirt,3.75,2,3,7,3,cluttered,True,The cluttered retail background significantly distracts from the product and reduces purchase confidence.
ecommerce118k,592fee264ff3e5e252851c44b6fbcba0.jpg,2,clothing and t-shirt,7.75,6,10,8,7,lifestyle,False,The background features a blurred interior hallway with wood paneling and tiled flooring.
ecommerce118k,4226365b8e8f905291a7769f44e30d5b.jpg,2,clothing and t-shirt,6.25,8,2,9,6,plain,False,
ecommerce118k,048aa6d6c3a3781b41ed4ac448597158.jpg,2,clothing and t-shirt,3.5,2,2,7,3,cluttered,True,The cluttered background and excessive text overlays significantly detract from the product and reduce purchase confidence.
ecommerce118k,15d74b5c6ea75d285b28292848ae12f2.jpg,2,clothing and t-shirt,6.5,4,10,7,5,lifestyle,True,The cluttered lifestyle background distracts from the t-shirts and reduces their visual impact.
ecommerce118k,355b3e3dbee96fd78a6771cf58a0b8e7.jpg,2,clothing and t-shirt,7.75,7,10,8,6,plain,False,"The product is laid on a grey textured surface, possibly concrete or a similar material."
ecommerce118k,77b34d98c9142c0b03d02e42c295b582.jpg,2,clothing and t-shirt,7.25,4,10,8,7,lifestyle,True,The cluttered cafe background distracts from the t-shirt and reduces its visual impact.
ecommerce118k,ec97cf4839d43c1cb2f30ac1dadbcea9.jpg,2,clothing and t-shirt,8.5,8,10,9,7,plain,False,"The background is a grey tiled wall, resembling a bathroom or studio setting."
ecommerce118k,1825a7be29dfb9a9bb3e782a814ec623.jpg,2,clothing and t-shirt,6.75,4,10,8,6,lifestyle,True,The cluttered background with multiple hangers and partial views of other items distracts from the main product.
ecommerce118k,deefccd399b4cf1428c22493be4f7874.jpg,2,clothing and t-shirt,8.5,8,10,9,7,plain,False,"The background is a blurred, indistinct greyish-white, appearing to be a studio or plain wall."
ecommerce118k,3c0b359d3329f647d09597b86c12cea6.jpg,2,clothing and t-shirt,3.25,2,1,7,3,cluttered,True,The cluttered anime background and extensive text overlays severely detract from the product and reduce purchase confidence.
ecommerce118k,dcca039b05b31c6fa011a190e409de51.jpg,2,clothing and t-shirt,6.5,10,1,9,6,plain,False,"The large, distracting text overlay significantly reduces the image's professional quality."
ecommerce118k,2ac165ad3a811933b9b29ef342ce7a93.jpg,2,clothing and t-shirt,5.5,7,2,8,5,plain,False,The excessive watermarking significantly detracts from the image's professional appearance and purchase appeal.
ecommerce118k,294a2a81b0af709f4307568f456bb474.jpg,2,clothing and t-shirt,5.5,6,1,8,7,lifestyle,True,"The large, distracting watermark significantly reduces the image's professional quality and purchase appeal."
ecommerce118k,06b1af66c54c49c1d5a4c6df932a94f8.jpg,2,clothing and t-shirt,6.25,4,10,8,6,lifestyle,True,The cluttered lifestyle background distracts from the jacket and reduces its visual impact.
ecommerce118k,dbe104fae8b75f697bfbc291605a7fcd.jpg,2,clothing and t-shirt,7.75,6,10,8,7,lifestyle,False,"The product is shown on a model seated in an armchair, with a window and neutral wall visible in the background."
ecommerce118k,c66b912c6a5af28755a909c96746136c.jpg,2,clothing and t-shirt,6.25,3,10,7,5,cluttered,True,The cluttered background distracts from the product and reduces its visual impact.
ecommerce118k,7b193ec1008b6218c69fb83d43bc390a.jpg,2,clothing and t-shirt,3.5,2,3,6,3,cluttered,True,The cluttered background with competing products significantly detracts from the featured t-shirt and reduces its commercial appeal.
ecommerce118k,e67b6812f5c5830ff143151f6e6544ea.jpg,2,clothing and t-shirt,7.25,4,10,8,7,lifestyle,True,The cluttered and distracting background detracts from the product and reduces its visual impact.
ecommerce118k,b0cc5ebd2e350b8ff5585e4f31877195.jpg,2,clothing and t-shirt,8.5,8,10,9,7,plain,False,"The background is a plain, light grey wall with a glimpse of a dark leather sofa on the left."
ecommerce118k,91d6ab0ade1dbf85bc893ebf99f46440.jpg,2,clothing and t-shirt,6.25,3,10,8,6,cluttered,True,The cluttered background with handwritten text distracts from the product and reduces its visual impact.
ecommerce118k,86c4553ed465d09cad0ec83cb59deed8.jpg,2,clothing and t-shirt,8.25,8,10,9,6,plain,False,"The product is placed on a dark wooden surface, appearing to be a tabletop or shelf."
ecommerce118k,def114bbea193754f389dff94a9826bd.jpg,2,clothing and t-shirt,5.5,10,1,8,3,plain,False,"The image is heavily overlaid with promotional text and watermarks, significantly reducing its commercial appeal."
ecommerce118k,75eb6e657bf6404ac87f262c0abbead1.jpg,2,clothing and t-shirt,3.5,2,1,8,3,cluttered,True,The image is overwhelmed with distracting text and promotional elements that significantly detract from the product.
ecommerce118k,04f0bf451288ea512a155cb1a02731f4.jpg,2,clothing and t-shirt,6.25,10,1,8,6,plain,False,The large seller text overlay significantly detracts from the image's professional appearance.
ecommerce118k,626cdb0ab6c91417a55ad61a73790b56.jpg,2,clothing and t-shirt,8.75,10,10,9,7,plain,False,"The background is a plain, slightly off-white surface."
ecommerce118k,0d61407ffa6f393555d9892f7e1dd09a.jpg,2,clothing and t-shirt,5.0,4,2,8,6,lifestyle,True,"The image is significantly detracted from by the large, distracting watermarks and the cluttered background."
ecommerce118k,25b47ca7035534771a1a1a4d4f92bcdb.jpg,2,clothing and t-shirt,8.75,9,10,8,8,plain,False,The product is shown against a gradient grey background that fades to white.
ecommerce118k,f95fc2a07e974b083125eda49596e255.jpg,2,clothing and t-shirt,7.75,6,10,8,7,lifestyle,False,"The product is displayed in a softly lit bedroom setting with a child, a woven basket, and sheer curtains visible in the background."
ecommerce118k,057ae1f1c601a86b1087a60478d03e1e.jpg,2,clothing and t-shirt,3.75,3,2,6,4,cluttered,True,The cluttered background and excessive text overlays distract from the product and reduce its commercial appeal.
